District,PropertyType,Rooms,Furnished,Shareable,PetsAllowed,Elevator,SeniorFriendly,StudentOnly,Balcony,Parking,Size,Floor,RentalPeriod,AvailableFrom,MonthlyNetRent,Utilities,Deposit,PrepaidRent,MoveInPrice
"Kastetvej,9000 Aalborg",Apartment,2,False,False,False,False,False,False,False,False,48,3,,As soon as possible,4475,800,13425,0,18700
"Absalonsgade,9000 Aalborg",Apartment,2,False,False,False,False,False,False,False,False,74,0,,1 December 2021,5950,800,17850,0,24600
"Allevej,2635 Ishøj",House,6,False,False,False,False,False,False,False,False,185,0,,As soon as possible,16500,2500,49500,16500,85000
"Skejby Vænge,8200 Aarhus",Apartment,2,False,True,False,False,False,False,False,True,64,0,,As soon as possible,6800,1100,13600,6800,28300
"Niels Bohrs Vej,8920 Randers",House,4,False,False,True,False,False,False,False,False,152,0,,1 November 2021,9500,0,19000,9500,38000
"Kalkbrænderihavnsg,2100 København",Apartment,2,False,False,True,True,True,False,True,False,73,0,,1 December 2021,13000,1000,39000,0,53000
"Allegade,7500 Holstebro",Apartment,2,False,False,False,False,False,False,False,False,50,1,,15 October 2021,4900,650,14700,4900,25150
"Kirkegade,7361 Ejstrupholm",Apartment,1,False,False,False,False,False,False,False,True,49,0,,1 November 2021,2950,700,8850,3560,16060
"Bygården,2700 Brønshøj",Room,1,False,False,True,True,False,False,False,True,10,1,,As soon as possible,4750,0,9500,4750,19000
"Ribegade,7100 Vejle",Apartment,2,False,False,False,False,False,False,False,False,46,0,,1 October 2021,5000,0,10000,0,15000
"Dirch Passers Gade,8000 Aarhus",Apartment,3,False,True,True,True,False,False,True,False,66,3,,1 January 2022,9550,550,28650,9550,48300
"Vestergade,7500 Holstebro",Apartment,4,False,False,False,False,False,False,False,True,105,0,,As soon as possible,6000,1000,18000,7000,32000
"Vestergade,7500 Holstebro",Apartment,2,False,False,False,False,False,False,False,True,68,1,,1 October 2021,4000,800,12000,4800,21600
"Kastaniealle,9500 Hobro",Apartment,5,False,False,False,False,False,False,False,False,116,1,,As soon as possible,6700,1300,16500,0,24500
"Assensvej,5771 Stenstrup",Apartment,4,False,True,False,False,False,False,False,True,95,1,,As soon as possible,5650,800,16950,5650,29050
"Vester Alle,7400 Herning",Apartment,3,False,True,True,False,False,False,False,False,93,1,,As soon as possible,6500,300,19500,0,26300
"Spangsbjerggade,6700 Esbjerg",Apartment,2,False,False,False,False,False,False,False,False,56,2,,1 December 2021,5850,350,17550,0,23750
"Nørre Allé,8000 Aarhus",Apartment,2,False,True,False,True,False,False,True,False,67,1,,1 January 2022,9495,500,18990,0,28985
"Emil Møllers Gade,8700 Horsens",Apartment,2,False,False,False,False,False,False,False,False,59,1,,As soon as possible,4800,500,13400,0,18700
"Rådhusvej,2920 Charlottenlund",Room,1,True,True,False,False,False,False,False,False,16,1,,As soon as possible,6000,0,10000,0,16000
"Rådhusvej,4180 Sorø",Apartment,3,False,False,False,False,False,False,False,True,64,1,,30 December 2021,7000,1200,21000,7000,36200
"Stationsvej,4241 Vemmelev",Apartment,2,False,False,False,False,False,False,False,True,50,2,,As soon as possible,4700,1000,14100,4700,24500
"Sct Hansgade,4100 Ringsted",Apartment,2,False,False,False,False,False,False,False,False,70,2,,30 November 2021,6900,900,20700,13800,42300
"Gl Ringstedvej,4600 Køge",House,6,False,False,True,False,False,False,False,False,300,0,,1 November 2021,16900,0,50700,50700,118300
"Haldager Mark Vej,4250 Fuglebjerg",Apartment,2,False,False,False,False,False,False,False,True,52,0,,1 December 2021,5400,950,16200,5400,27950
"Lysningen,4200 Slagelse",Apartment,3,False,False,True,False,False,False,True,True,79,0,,As soon as possible,9319,1500,27957,9319,48095
"Holmbladsgade,2300 København",Apartment,3,True,True,False,True,False,False,True,False,76,3,,As soon as possible,8000,0,0,0,8000
"Oldrupvej,8350 Hundslund",Apartment,3,False,False,False,False,False,False,False,True,150,1,,1 October 2021,8600,1750,20550,8600,39500
"Sølvgade,1307 København",Apartment,2,True,False,False,True,False,False,False,False,48,5,,15 November 2021,10500,300,21000,0,31800
"Vesterbrogade,6000 Kolding",Apartment,5,False,False,False,False,False,False,False,False,112,1,,1 November 2021,5200,900,15600,5200,26900
"Snerlehaven,2630 Taastrup",Room,1,False,False,True,False,False,False,False,False,8,0,,As soon as possible,4250,250,0,4250,8750
"C.V. Jessens Gade,9000 Aalborg",Apartment,2,False,False,True,False,True,False,True,True,87,0,,As soon as possible,7450,850,22350,7450,38100
"Bosagergården,6400 Sønderborg",Apartment,1,False,False,False,False,True,False,True,True,49,0,,As soon as possible,3500,0,10500,3500,17500
"Bøndergårdene,6100 Haderslev",Townhouse,3,False,False,False,False,False,False,False,True,82,0,,As soon as possible,7250,0,21750,0,29000
"Krogerupgade,2200 København",Apartment,2,True,False,False,False,False,False,True,False,53,4,,As soon as possible,10000,700,10000,10000,30700
"Frederiksberggade,8600 Silkeborg",Apartment,2,False,False,False,False,False,False,False,False,61,-1,,15 December 2021,5900,500,11800,0,18200
"Vesterbro,9000 Aalborg",Apartment,3,False,True,True,False,False,False,False,False,102,4,,15 November 2021,7950,680,15900,0,24530
"Vibevej,7430 Ikast",House,3,False,False,False,False,False,False,False,False,98,0,,1 January 2022,8050,0,24150,0,32200
"Rundhøj Allé,8270 Aarhus",Apartment,2,True,False,False,False,False,False,True,True,69,3,,16 October 2021,8100,700,24300,0,33100
"Jyllandsgade,7600 Struer",Apartment,2,False,True,False,False,False,False,False,False,68,-1,,As soon as possible,3650,700,10950,0,15300
"Rådhuspassagen,7100 Vejle",Apartment,3,False,False,False,False,False,False,True,False,78,1,,1 December 2021,6800,500,20100,0,27400
"Indiakaj,2100 København",Apartment,2,False,False,False,True,False,False,True,True,79,2,,As soon as possible,14500,771,43500,0,58771
"Knorregade,5500 Middelfart",Townhouse,2,False,False,False,False,False,False,False,False,85,0,,15 November 2021,9500,0,28500,0,38000
"Valbyvej,4200 Slagelse",Apartment,1,False,False,False,False,False,False,False,False,40,0,,As soon as possible,5800,500,17400,5800,29500
"Frederiksgade,8000 Aarhus",Apartment,2,False,False,False,False,False,False,True,False,50,1,,1 December 2021,7900,550,23700,23700,55850
"Marselis Boulevard,8000 Aarhus",Apartment,2,False,False,False,False,False,False,False,False,86,-1,,1 November 2021,6000,500,18000,6000,30500
"Århusvej,8464 Galten",House,6,False,True,False,False,False,False,False,False,122,0,,As soon as possible,9500,400,28500,19000,57400
"J.C. La Cours Vej,5000 Odense",Apartment,3,False,False,True,False,False,False,False,False,75,0,,1 November 2021,6950,600,20850,6950,35350
"Åløkkehaven,5000 Odense",Apartment,4,False,True,False,False,False,False,True,True,98,0,,1 December 2021,8900,1000,26700,17800,54400
"Birkedommervej,8500 Grenaa",Apartment,3,False,False,True,False,False,False,False,True,100,0,,As soon as possible,6000,2000,18000,6000,32000
"Broagervej,9260 Gistrup",Townhouse,5,False,False,True,False,False,False,True,True,132,0,,1 January 2022,10995,0,32985,10995,54975
"Hovedgaden,6360 Tinglev",Apartment,2,False,False,False,False,False,False,False,True,40,1,,1 October 2021,2400,700,7200,0,10300
"Erling Jacobsens Gade,8240 Aarhus",Apartment,4,False,True,False,False,True,False,False,True,119,2,,1 December 2021,15900,1150,47700,15900,80650
"Gartnervænget,6091 Bjert",House,7,False,False,False,False,False,False,False,True,192,0,,As soon as possible,10700,0,32100,10700,53500
"Bredgade,5485 Skamby",Apartment,3,False,False,False,False,False,False,False,False,65,0,,15 November 2021,4100,0,12300,4100,20500
"Peder Bodils Vej,4700 Næstved",Apartment,2,False,False,False,False,False,False,True,False,68,0,,15 October 2021,5100,1000,15300,10200,31600
"Breumvej,7870 Roslev",House,3,False,False,False,False,False,False,False,False,124,0,,1 December 2021,6200,400,18600,0,25200
"Byvænget,9200 Aalborg",Townhouse,4,False,False,False,False,False,False,False,True,108,0,,1 November 2021,8000,2000,16000,0,26000
"Flagsøvej,3520 Farum",Room,1,False,False,False,False,False,False,False,True,38,0,,As soon as possible,5500,1300,11000,0,17800
"Vesterport,6800 Varde",Apartment,2,False,False,False,False,False,False,False,True,52,0,,15 November 2021,4000,800,12000,0,16800
"Vestbanevej,6800 Varde",Apartment,2,False,False,False,False,False,False,False,False,50,1,,As soon as possible,3900,800,11700,0,16400
"Gislumvej,9600 Aars",Apartment,3,False,False,False,False,False,False,False,False,60,-1,,8 November 2021,3500,550,0,10500,14550
"Oluf Bagersgade,5000 Odense",Apartment,2,False,False,False,False,False,False,False,False,58,1,,As soon as possible,5000,600,15000,10000,30600
"Haraldsgade,5000 Odense",Apartment,2,False,False,False,False,False,False,False,False,63,0,,As soon as possible,5600,750,16800,11200,34350
"Ceresbyen,8000 Aarhus",Room,1,False,True,False,True,False,False,True,False,10,0,,1 November 2021,4635,470,8200,13800,27105
"Nørregade,6430 Nordborg",Apartment,1,False,False,False,False,False,False,False,True,35,0,,As soon as possible,3200,300,9600,0,13100
"Kiddesvej,7100 Vejle",Apartment,3,False,True,False,False,False,False,False,True,85,0,,1 March 2022,7400,600,22200,22200,52400
"Kiddesvej,7100 Vejle",Apartment,4,False,True,False,False,False,False,True,True,102,1,,1 November 2021,8400,1000,25200,25200,59800
"Alexandragade,5000 Odense",Apartment,2,False,False,False,False,False,False,True,False,63,2,,15 November 2021,6550,500,0,0,7050
"Hækkevold,2700 Brønshøj",Room,1,True,False,False,False,False,False,False,False,25,1,,15 October 2021,3550,100,4000,0,7650
"Haraldsgade,5000 Odense",Apartment,2,False,False,False,False,False,False,False,False,72,2,,As soon as possible,5500,700,16500,11000,33700
"Bispensgade,9800 Hjørring",Apartment,2,False,False,False,False,False,False,False,True,62,1,,As soon as possible,4600,400,13800,4600,23400
"Rosenvej,3100 Hornbæk",House,4,True,False,True,False,False,False,False,True,70,0,,24 October 2021,7000,500,14000,14000,35500
"Østergade,6700 Esbjerg",Apartment,3,False,False,False,False,False,False,False,False,123,1,,1 November 2021,4900,860,14700,0,20460
"Dannebrogsgade,9000 Aalborg",Apartment,1,False,False,False,False,False,False,False,False,49,2,,1 November 2021,4995,550,14985,0,20530
"Gæslingestien,2950 Vedbæk",Apartment,5,False,True,False,False,False,False,False,True,220,0,,1 December 2021,22000,1000,66000,44000,133000
"Andreas Bjørns Gade,1428 København",Apartment,2,True,True,True,False,False,False,False,True,70,5,,1 October 2021,17000,0,20000,34000,71000
"Roskildevej,4300 Holbæk",Room,1,False,False,False,False,False,False,False,False,18,0,,As soon as possible,3800,0,7600,3800,15200
"Dræsinen,2640 Hedehusene",Apartment,3,False,False,True,False,False,False,False,True,74,2,,1 March 2022,10600,700,31800,10600,53700
"Dræsinen,2640 Hedehusene",Apartment,3,False,False,True,False,False,False,False,True,81,0,,1 March 2022,10700,700,32100,10700,54200
"Lysningen,4200 Slagelse",Apartment,3,False,False,True,False,False,False,True,True,76,0,,As soon as possible,9596,1500,28788,9596,49480
"Rødegårdsvej,5230 Odense",Apartment,3,False,True,False,False,True,False,False,True,88,0,,1 January 2022,7300,1000,21900,7300,37500
"Kamma Klitgårds Gade,8240 Aarhus",Apartment,2,False,False,True,True,False,False,True,True,65,1,,1 January 2022,8299,300,24897,8299,41795
"Vestre Ringgade,8000 Aarhus",Apartment,2,False,True,False,False,True,False,True,True,63,1,,1 December 2021,8495,600,25485,25485,60065
"Dalgade,7100 Vejle",Apartment,3,False,False,False,False,False,False,False,True,78,0,,As soon as possible,7350,850,22050,0,30250
"Møllevangen,3460 Birkerød",Apartment,3,False,False,False,False,False,False,True,False,78,0,,1 October 2021,7500,1200,22500,22500,53700
"Hoffmannsvej,8220 Aarhus",Apartment,3,False,True,False,False,False,False,True,False,85,3,,As soon as possible,9115,600,27345,9115,46175
"Brendstrupgårdsvej,8200 Aarhus",Apartment,3,False,True,True,True,True,False,True,True,67,0,,1 January 2022,8500,800,25500,8500,43300
"Brendstrupgårdsvej,8200 Aarhus",Apartment,3,False,True,True,True,True,False,True,True,67,1,,1 November 2021,8500,800,25500,8500,43300
"Brendstrupgårdsvej,8200 Aarhus",Apartment,3,False,True,True,True,True,False,True,True,67,1,,1 December 2021,8500,800,25500,8500,43300
"Nørre Alle,4400 Kalundborg",Apartment,3,False,True,True,False,False,False,False,True,74,2,,1 December 2021,6785,950,20352,0,28087
"Gørlevvej,4270 Høng",House,3,False,False,False,False,True,False,True,True,102,0,,As soon as possible,6285,0,18855,12570,37710
"Kansleren,3650 Ølstykke",Apartment,4,False,True,True,False,False,False,True,True,104,2,,1 October 2021,12750,750,38250,12750,64500
"Havkærvej,8381 Aarhus",Townhouse,3,False,False,False,False,False,False,False,True,84,0,,1 October 2021,7600,600,22800,7600,38600
"Måløv Hovedgade,2760 Måløv",House,4,False,False,False,False,False,False,False,True,141,0,,As soon as possible,14000,500,42000,0,56500
"Sønderbro,9000 Aalborg",Apartment,2,False,False,False,False,False,False,False,False,60,4,,1 November 2021,4888,500,14664,0,20052
"Kildestrømmen,9000 Aalborg",Apartment,3,False,False,True,True,False,False,True,True,85,3,,As soon as possible,9100,700,27300,0,37100
"Hesteskoen,2880 Bagsværd",Apartment,3,False,False,False,False,False,False,True,False,112,2,,As soon as possible,15495,1200,46485,15495,78675
"Riberdyb,6000 Kolding",Apartment,2,False,False,False,False,False,False,False,False,44,1,,As soon as possible,4500,500,13500,4500,23000
"Odinsgade,5000 Odense",Apartment,3,False,False,False,False,False,False,False,False,68,0,,1 November 2021,5650,500,16950,5650,28750
"Amagerbrogade,2300 København",Room,1,False,False,False,False,False,False,False,False,18,4,,1 December 2021,4750,0,4750,9500,19000
"Store Kongensgade,1264 København",Room,1,False,False,False,False,False,False,False,False,22,4,,1 December 2021,6000,650,18000,2000,26650
"Adelgade,5400 Bogense",Apartment,2,False,False,False,False,False,False,False,False,51,0,,1 November 2021,4000,500,12000,12000,28500
"Store Glasvej,5000 Odense",Room,1,False,False,False,False,False,False,False,False,18,0,,As soon as possible,3700,300,11100,0,15100
"Gartnervej,9200 Aalborg",Townhouse,4,False,True,True,False,False,False,False,True,109,0,,1 January 2022,9350,0,28050,9350,46750
"Skovvej,5400 Bogense",Townhouse,4,False,False,False,False,False,False,False,True,156,0,,As soon as possible,7200,1500,21600,21600,51900
"Vestergade,8600 Silkeborg",Apartment,2,False,False,False,False,False,False,False,True,36,1,,1 November 2021,4158,400,12474,8316,25348
"Vibekevej,5250 Odense",Townhouse,2,False,False,False,False,False,False,False,True,47,0,,As soon as possible,4600,600,13800,4600,23600
"Ravnholtvej,5853 Ørbæk",Apartment,2,False,False,False,False,False,False,False,False,75,0,,As soon as possible,4600,900,13800,4600,23900
"Perlegade,6400 Sønderborg",Apartment,4,False,False,False,False,False,False,False,True,180,1,,1 December 2021,8900,800,26700,8900,45300
"Birkevej,8860 Ulstrup",Apartment,3,False,False,False,False,False,False,False,False,56,0,,15 January 2022,3000,700,9000,3000,15700
"Dybbølgade,9000 Aalborg",Apartment,2,False,False,False,False,False,False,False,False,59,0,,As soon as possible,4800,400,14400,1200,20800
"Skovbrynet,2800 Kongens Lyngby",Apartment,1,False,False,False,True,False,False,True,True,51,3,,As soon as possible,11600,1003,34800,11600,59003
"Ejler Billes Allé,2300 København",Apartment,4,False,False,True,True,False,False,False,True,122,0,,1 December 2021,16150,513,48450,16150,81263
"Skolebakken,2830 Virum",Room,1,True,False,False,False,False,False,False,True,15,0,,As soon as possible,5000,0,5000,0,10000
"Stadens Vænge,2100 København",Room,1,False,False,False,True,False,False,False,True,27,2,,1 December 2021,7500,425,22500,7500,37925
"Jernbanevej,5580 Nørre Aaby",Apartment,3,False,False,False,False,False,False,False,True,69,1,,15 October 2021,5200,700,15600,5200,26700
"Højtoftegade,8940 Randers",Apartment,2,False,True,False,False,False,False,True,True,85,2,,As soon as possible,6550,500,19650,6550,33250
"Vesterbrogade,4930 Maribo",Apartment,3,False,False,False,False,False,False,False,False,80,1,,1 December 2021,5500,1200,16500,5500,28700
"Gudenåskrænten,8600 Silkeborg",Townhouse,4,False,False,True,False,True,False,False,True,130,0,,1 December 2021,11500,0,34500,11500,57500
"J. Skjoldborgs Vej,8230 Aarhus",Apartment,1,False,False,False,False,False,False,False,False,33,0,,As soon as possible,4700,0,14100,0,18800
"Istedgade,9000 Aalborg",Apartment,3,False,False,False,False,False,False,True,False,86,3,,As soon as possible,5995,500,17985,5995,30475
"Resedavej,8600 Silkeborg",Apartment,3,False,True,False,False,False,False,True,True,86,3,,2 October 2021,2550,0,7650,0,10200
"Platanvej,8930 Randers",Apartment,2,False,False,False,False,False,False,True,True,81,1,,As soon as possible,5300,1000,15900,5300,27500
"Taastrup Hovedgade,2630 Taastrup",Apartment,1,False,False,False,False,False,False,False,False,25,0,,15 October 2021,2500,700,7500,5000,15700
"Flaskegade,1799 København",Apartment,2,False,False,False,True,False,False,True,False,62,4,,As soon as possible,12500,1000,37500,0,51000
"Møllegade,6200 Aabenraa",Apartment,3,False,False,False,False,False,False,False,False,59,1,,1 October 2021,5195,795,15585,1385,22960
"Kastanievej,5550 Langeskov",Apartment,2,False,False,False,False,False,False,False,True,63,0,,1 December 2021,4050,650,12150,4050,20900
"Storegade,4780 Stege",Apartment,3,False,False,False,False,False,False,False,False,117,0,,1 November 2021,5650,1265,16950,11300,35165
"Christiansgade,9000 Aalborg",Apartment,1,False,False,False,False,False,False,False,False,45,1,,As soon as possible,4495,700,13485,0,18680
"Marstrandsgade,8000 Aarhus",Apartment,3,False,True,False,False,False,False,False,False,84,5,,1 November 2021,10800,1000,32400,32400,76600
"Grønnegade,8000 Aarhus",Apartment,2,False,True,False,False,False,False,False,False,59,0,,1 November 2021,8300,800,24900,24900,58900
"Østboulevarden,8000 Aarhus",Apartment,2,False,True,False,False,False,False,True,False,63,1,,1 November 2021,8900,800,26700,26700,63100
"Dalgas Avenue,8000 Aarhus",Apartment,2,False,True,False,False,False,False,True,False,58,5,,1 November 2021,8900,800,26700,26700,63100
"Munkegade,6000 Kolding",Apartment,25,False,False,False,False,False,False,True,False,60,0,,As soon as possible,5000,900,15000,0,20900
"Finlandsgade,6700 Esbjerg",Apartment,4,False,False,False,False,False,False,True,True,105,1,,As soon as possible,9700,1000,29100,9700,49500
"Jernbanegade,6700 Esbjerg",Apartment,3,False,False,False,False,False,False,False,False,72,2,,As soon as possible,6500,800,19500,6500,33300
"Fundertoften,8600 Silkeborg",Apartment,3,False,False,False,False,False,False,True,True,95,1,,As soon as possible,7000,1000,21000,0,29000
"Odgaardsvej,7800 Skive",Apartment,2,False,False,False,False,False,False,False,False,64,1,,As soon as possible,3100,500,9300,0,12900
"Ved Bommen,2820 Gentofte",Room,1,True,True,False,False,False,False,False,True,12,0,,As soon as possible,5500,0,5500,0,11000
"Erik Bøghs Vej,8230 Aarhus",Room,1,False,False,False,False,False,False,False,True,30,0,,1 November 2021,3750,250,11250,3750,19000
"Koldingvej,7100 Vejle",Apartment,2,False,False,False,False,False,False,False,False,56,0,,10 November 2021,5500,500,16500,0,22500
"Granly Alle,6710 Esbjerg",Apartment,1,False,False,False,False,False,False,True,True,42,1,,15 October 2021,4600,400,13800,0,18800
"Østerbro,4200 Slagelse",Apartment,3,False,True,False,False,False,False,True,False,99,1,,As soon as possible,8000,700,16000,8000,32700
"Amerika Plads,2100 København",Apartment,3,False,True,True,True,False,False,True,False,124,1,,As soon as possible,17500,1000,51000,0,69500
"Holbergsgade,8000 Aarhus",Apartment,1,False,False,False,False,False,False,False,False,47,3,,As soon as possible,6000,500,18000,6000,30500
"Hjortebrovej,6100 Haderslev",House,3,False,False,True,False,False,False,False,False,90,0,,1 November 2021,7000,0,21000,7000,35000
"Ericaparken,2820 Gentofte",Room,1,True,False,False,False,False,False,False,False,15,0,,15 October 2021,4000,0,4000,4000,12000
"Mølledalvej,8800 Viborg",House,3,False,False,False,False,False,False,False,False,130,0,,As soon as possible,4000,0,12000,0,16000
"Sct. Mathias Gade,8800 Viborg",Apartment,2,False,False,False,False,False,False,False,False,86,2,,1 October 2021,5800,600,17400,5800,29600
"Gråbrødrestræde,1156 København",Apartment,2,True,False,False,False,False,False,False,False,78,4,,1 November 2021,11000,1000,11000,22000,45000
"Lyksborgvej,7500 Holstebro",Apartment,1,False,False,False,False,False,False,False,True,39,1,,1 November 2021,3600,520,10800,3600,18520
"Jens Baggesens Vej,8200 Aarhus",Apartment,3,False,True,False,True,False,False,True,True,89,1,,As soon as possible,10500,500,31500,10500,53000
"Urbansgade,9000 Aalborg",Apartment,2,False,False,False,False,False,False,True,False,80,5,,As soon as possible,6995,700,20985,6995,35675
"Dalegade,7000 Fredericia",Apartment,2,True,False,False,False,True,False,False,False,63,3,,1 November 2021,4300,700,4300,0,9300
"Svaneparken,7430 Ikast",Townhouse,4,False,False,False,False,False,False,False,False,101,0,,15 December 2021,9300,0,26400,0,35700
"Fynsvej,6000 Kolding",Apartment,3,False,True,True,False,True,False,True,True,112,0,,As soon as possible,7180,699,21540,0,29419
"Sjællandsgade,8800 Viborg",Apartment,4,False,False,False,True,True,False,True,True,117,1,,23 December 2021,8950,1200,26850,0,37000
"Nørregade,8800 Viborg",Apartment,2,False,False,False,False,False,False,False,False,38,1,,1 October 2021,3695,800,11085,0,15580
"Sjællandsgade,8800 Viborg",Apartment,3,False,False,False,False,False,False,True,False,64,1,,As soon as possible,4995,1050,14985,0,21030
